"","flips","player","result","change","streak","num_Make","prior_makes_3"
"1","Miss",1,0,1,1,0,NA
"2","Miss",1,0,0,1,0,FALSE
"3","Make",1,1,1,2,1,FALSE
"4","Miss",1,0,1,3,0,FALSE
"5","Miss",1,0,0,3,0,FALSE
"6","Make",1,1,1,4,1,FALSE
"7","Miss",1,0,1,5,0,FALSE
"8","Make",1,1,1,6,1,FALSE
"9","Make",1,1,0,6,2,FALSE
"10","Make",1,1,0,6,3,FALSE
"11","Miss",1,0,1,7,0,TRUE
"12","Make",1,1,1,8,1,FALSE
"13","Miss",1,0,1,9,0,FALSE
"14","Miss",1,0,0,9,0,FALSE
"15","Miss",1,0,0,9,0,FALSE
"16","Make",1,1,1,10,1,FALSE
"17","Miss",1,0,1,11,0,FALSE
"18","Miss",1,0,0,11,0,FALSE
"19","Miss",1,0,0,11,0,FALSE
"20","Make",1,1,1,12,1,FALSE
"21","Miss",1,0,1,13,0,FALSE
"22","Make",1,1,1,14,1,FALSE
"23","Make",1,1,0,14,2,FALSE
"24","Make",1,1,0,14,3,FALSE
"25","Miss",1,0,1,15,0,TRUE
"26","Make",1,1,1,16,1,FALSE
"27","Make",1,1,0,16,2,FALSE
"28","Make",1,1,0,16,3,FALSE
"29","Make",1,1,0,16,4,TRUE
"30","Make",1,1,0,16,5,TRUE
"31","Make",1,1,0,16,6,TRUE
"32","Miss",1,0,1,17,0,TRUE
"33","Make",1,1,1,18,1,FALSE
"34","Miss",1,0,1,19,0,FALSE
"35","Make",1,1,1,20,1,FALSE
"36","Miss",1,0,1,21,0,FALSE
"37","Miss",1,0,0,21,0,FALSE
"38","Make",1,1,1,22,1,FALSE
"39","Miss",1,0,1,23,0,FALSE
"40","Miss",1,0,0,23,0,FALSE
"41","Miss",1,0,0,23,0,FALSE
"42","Miss",1,0,0,23,0,FALSE
"43","Make",1,1,1,24,1,FALSE
"44","Miss",1,0,1,25,0,FALSE
"45","Miss",1,0,0,25,0,FALSE
"46","Miss",1,0,0,25,0,FALSE
"47","Miss",1,0,0,25,0,FALSE
"48","Make",1,1,1,26,1,FALSE
"49","Make",1,1,0,26,2,FALSE
"50","Make",1,1,0,26,3,FALSE
"51","Make",1,1,0,26,4,TRUE
"52","Miss",1,0,1,27,0,TRUE
"53","Miss",1,0,0,27,0,FALSE
"54","Miss",1,0,0,27,0,FALSE
"55","Miss",1,0,0,27,0,FALSE
"56","Miss",1,0,0,27,0,FALSE
"57","Make",1,1,1,28,1,FALSE
"58","Miss",1,0,1,29,0,FALSE
"59","Miss",1,0,0,29,0,FALSE
"60","Make",1,1,1,30,1,FALSE
"61","Miss",1,0,1,31,0,FALSE
"62","Miss",1,0,0,31,0,FALSE
"63","Make",1,1,1,32,1,FALSE
"64","Make",1,1,0,32,2,FALSE
"65","Miss",1,0,1,33,0,FALSE
"66","Miss",1,0,0,33,0,FALSE
"67","Make",1,1,1,34,1,FALSE
"68","Make",1,1,0,34,2,FALSE
"69","Miss",1,0,1,35,0,FALSE
"70","Make",1,1,1,36,1,FALSE
"71","Make",1,1,0,36,2,FALSE
"72","Miss",1,0,1,37,0,FALSE
"73","Make",1,1,1,38,1,FALSE
"74","Make",1,1,0,38,2,FALSE
"75","Miss",1,0,1,39,0,FALSE
"76","Make",1,1,1,40,1,FALSE
"77","Miss",1,0,1,41,0,FALSE
"78","Miss",1,0,0,41,0,FALSE
"79","Miss",1,0,0,41,0,FALSE
"80","Miss",1,0,0,41,0,FALSE
"81","Make",1,1,1,42,1,FALSE
"82","Miss",1,0,1,43,0,FALSE
"83","Make",1,1,1,44,1,FALSE
"84","Miss",1,0,1,45,0,FALSE
"85","Make",1,1,1,46,1,FALSE
"86","Make",1,1,0,46,2,FALSE
"87","Make",1,1,0,46,3,FALSE
"88","Make",1,1,0,46,4,TRUE
"89","Make",1,1,0,46,5,TRUE
"90","Make",1,1,0,46,6,TRUE
"91","Miss",1,0,1,47,0,TRUE
"92","Make",1,1,1,48,1,FALSE
"93","Miss",1,0,1,49,0,FALSE
"94","Miss",1,0,0,49,0,FALSE
"95","Miss",1,0,0,49,0,FALSE
"96","Make",1,1,1,50,1,FALSE
"97","Make",1,1,0,50,2,FALSE
"98","Make",1,1,0,50,3,FALSE
"99","Miss",1,0,1,51,0,TRUE
"100","Miss",1,0,0,51,0,FALSE
"101","Miss",2,0,1,52,0,FALSE
"102","Miss",2,0,0,52,0,FALSE
"103","Miss",2,0,0,52,0,FALSE
"104","Miss",2,0,0,52,0,FALSE
"105","Miss",2,0,0,52,0,FALSE
"106","Miss",2,0,0,52,0,FALSE
"107","Miss",2,0,0,52,0,FALSE
"108","Miss",2,0,0,52,0,FALSE
"109","Make",2,1,1,53,1,FALSE
"110","Make",2,1,0,53,2,FALSE
"111","Miss",2,0,1,54,0,FALSE
"112","Miss",2,0,0,54,0,FALSE
"113","Miss",2,0,0,54,0,FALSE
"114","Miss",2,0,0,54,0,FALSE
"115","Miss",2,0,0,54,0,FALSE
"116","Miss",2,0,0,54,0,FALSE
"117","Make",2,1,1,55,1,FALSE
"118","Make",2,1,0,55,2,FALSE
"119","Make",2,1,0,55,3,FALSE
"120","Make",2,1,0,55,4,TRUE
"121","Make",2,1,0,55,5,TRUE
"122","Miss",2,0,1,56,0,TRUE
"123","Miss",2,0,0,56,0,FALSE
"124","Make",2,1,1,57,1,FALSE
"125","Make",2,1,0,57,2,FALSE
"126","Miss",2,0,1,58,0,FALSE
"127","Make",2,1,1,59,1,FALSE
"128","Make",2,1,0,59,2,FALSE
"129","Make",2,1,0,59,3,FALSE
"130","Miss",2,0,1,60,0,TRUE
"131","Miss",2,0,0,60,0,FALSE
"132","Miss",2,0,0,60,0,FALSE
"133","Make",2,1,1,61,1,FALSE
"134","Miss",2,0,1,62,0,FALSE
"135","Make",2,1,1,63,1,FALSE
"136","Miss",2,0,1,64,0,FALSE
"137","Make",2,1,1,65,1,FALSE
"138","Miss",2,0,1,66,0,FALSE
"139","Miss",2,0,0,66,0,FALSE
"140","Miss",2,0,0,66,0,FALSE
"141","Make",2,1,1,67,1,FALSE
"142","Make",2,1,0,67,2,FALSE
"143","Miss",2,0,1,68,0,FALSE
"144","Make",2,1,1,69,1,FALSE
"145","Make",2,1,0,69,2,FALSE
"146","Miss",2,0,1,70,0,FALSE
"147","Miss",2,0,0,70,0,FALSE
"148","Make",2,1,1,71,1,FALSE
"149","Make",2,1,0,71,2,FALSE
"150","Make",2,1,0,71,3,FALSE
"151","Make",2,1,0,71,4,TRUE
"152","Miss",2,0,1,72,0,TRUE
"153","Make",2,1,1,73,1,FALSE
"154","Miss",2,0,1,74,0,FALSE
"155","Miss",2,0,0,74,0,FALSE
"156","Miss",2,0,0,74,0,FALSE
"157","Make",2,1,1,75,1,FALSE
"158","Make",2,1,0,75,2,FALSE
"159","Miss",2,0,1,76,0,FALSE
"160","Miss",2,0,0,76,0,FALSE
"161","Make",2,1,1,77,1,FALSE
"162","Make",2,1,0,77,2,FALSE
"163","Make",2,1,0,77,3,FALSE
"164","Miss",2,0,1,78,0,TRUE
"165","Miss",2,0,0,78,0,FALSE
"166","Miss",2,0,0,78,0,FALSE
"167","Make",2,1,1,79,1,FALSE
"168","Miss",2,0,1,80,0,FALSE
"169","Make",2,1,1,81,1,FALSE
"170","Make",2,1,0,81,2,FALSE
"171","Miss",2,0,1,82,0,FALSE
"172","Miss",2,0,0,82,0,FALSE
"173","Make",2,1,1,83,1,FALSE
"174","Make",2,1,0,83,2,FALSE
"175","Make",2,1,0,83,3,FALSE
"176","Miss",2,0,1,84,0,TRUE
"177","Miss",2,0,0,84,0,FALSE
"178","Make",2,1,1,85,1,FALSE
"179","Miss",2,0,1,86,0,FALSE
"180","Make",2,1,1,87,1,FALSE
"181","Make",2,1,0,87,2,FALSE
"182","Make",2,1,0,87,3,FALSE
"183","Make",2,1,0,87,4,TRUE
"184","Miss",2,0,1,88,0,TRUE
"185","Make",2,1,1,89,1,FALSE
"186","Make",2,1,0,89,2,FALSE
"187","Make",2,1,0,89,3,FALSE
"188","Miss",2,0,1,90,0,TRUE
"189","Miss",2,0,0,90,0,FALSE
"190","Make",2,1,1,91,1,FALSE
"191","Make",2,1,0,91,2,FALSE
"192","Miss",2,0,1,92,0,FALSE
"193","Make",2,1,1,93,1,FALSE
"194","Make",2,1,0,93,2,FALSE
"195","Miss",2,0,1,94,0,FALSE
"196","Miss",2,0,0,94,0,FALSE
"197","Make",2,1,1,95,1,FALSE
