year,CDC,AGI,state
1972,1156,NA,AL
1974,3392,5080,AL
1975,2747,6020,AL
1976,7278,8350,AL
1977,11042,11680,AL
1978,13260,15120,AL
1979,15449,17590,AL
1980,17920,20780,AL
1981,13485,19840,AL
1982,16081,19930,AL
1983,17147,NA,AL
1984,16005,19210,AL
1985,15652,19380,AL
1986,15540,NA,AL
1987,14642,19630,AL
1988,14746,18220,AL
1989,14311,NA,AL
1990,15012,NA,AL
1991,14097,17400,AL
1992,13358,17450,AL
1993,14494,NA,AL
1994,14825,NA,AL
1995,14221,14580,AL
1996,13826,15150,AL
1997,13063,NA,AL
1998,13386,NA,AL
1999,13273,14300,AL
2000,13553,13830,AL
2001,13382,NA,AL
2002,12249,NA,AL
2003,10979,NA,AL
2004,11370,11300,AL
2005,11211,11340,AL
2006,11654,NA,AL
2007,11267,11270,AL
2008,11268,11270,AL
2009,10882,NA,AL
2010,10280,10280,AL
2011,9523,9550,AL
2012,9076,NA,AL
2013,8485,8420,AL
2014,8080,8020,AL
2015,5899,NA,AL
2016,6642,NA,AL
2017,6063,NA,AL
1970,408,NA,AK
1971,1145,NA,AK
1972,1172,NA,AK
1973,1165,1150,AK
1974,1025,1160,AK
1975,1248,1620,AK
1976,1213,1660,AK
1977,1074,2630,AK
1978,669,2600,AK
1979,1890,1890,AK
1980,1890,1890,AK
1981,1880,1880,AK
1982,1930,1930,AK
1983,1930,NA,AK
1984,1666,3170,AK
1985,1966,3450,AK
1986,1751,NA,AK
1987,1785,2560,AK
1988,1463,2390,AK
1989,1527,NA,AK
1990,1489,NA,AK
1991,1718,2400,AK
1992,1783,2370,AK
1993,1644,NA,AK
1994,1585,NA,AK
1995,1897,1990,AK
1996,2139,2040,AK
1997,1632,NA,AK
2003,1806,NA,AK
2004,1937,1920,AK
2005,1956,1880,AK
2006,1923,NA,AK
2007,1701,1720,AK
2008,1759,1700,AK
2009,1938,NA,AK
2010,1716,1930,AK
2011,1627,1820,AK
2012,1632,NA,AK
2013,1450,1570,AK
2014,1518,1470,AK
2015,1334,NA,AK
2016,1260,NA,AK
2017,1255,NA,AK
1972,275,NA,AZ
1974,6130,5610,AZ
1975,5482,6730,AZ
1976,5202,7930,AZ
1977,6130,9600,AZ
1978,6833,13370,AZ
1979,7811,14500,AZ
1980,9278,15790,AZ
1981,10573,16500,AZ
1982,12539,15830,AZ
1983,13664,NA,AZ
1984,14874,21190,AZ
1985,15604,22330,AZ
1986,15803,NA,AZ
1987,17138,22130,AZ
1988,15922,23070,AZ
1989,12688,NA,AZ
1990,15783,NA,AZ
1991,15491,19690,AZ
1992,14353,20600,AZ
1993,13648,NA,AZ
1994,13930,NA,AZ
1995,11933,18120,AZ
1996,11016,19310,AZ
1997,11266,NA,AZ
1998,14747,NA,AZ
1999,10765,16500,AZ
2000,10064,17940,AZ
2001,8302,NA,AZ
2002,10677,NA,AZ
2003,10316,NA,AZ
2004,12690,17930,AZ
2005,10778,19480,AZ
2006,10836,NA,AZ
2007,10759,17550,AZ
2008,10660,19500,AZ
2009,10271,NA,AZ
2010,11438,15180,AZ
2011,14401,16100,AZ
2012,13340,NA,AZ
2013,13401,13580,AZ
2014,12900,12870,AZ
2015,12655,NA,AZ
2016,13332,NA,AZ
2017,12533,NA,AZ
1971,637,NA,AR
1972,793,NA,AR
1973,1138,1140,AR
1974,1694,1940,AR
1975,1925,2610,AR
1976,3286,4210,AR
1977,2726,3570,AR
1978,5014,5150,AR
1979,6059,6110,AR
1980,5995,6190,AR
1981,5722,6370,AR
1982,5437,6660,AR
1983,5186,NA,AR
1984,5243,4680,AR
1985,5135,5420,AR
1986,6437,NA,AR
1987,6589,7030,AR
1988,5439,6250,AR
1989,4942,NA,AR
1990,5953,NA,AR
1991,6211,7150,AR
1992,5675,7130,AR
1993,5582,NA,AR
1994,5885,NA,AR
1995,5757,6010,AR
1996,5882,6200,AR
1997,5782,NA,AR
1998,5634,NA,AR
1999,5755,5320,AR
2000,5501,5540,AR
2001,5924,NA,AR
2002,5316,NA,AR
2003,5408,NA,AR
2004,4644,4610,AR
2005,4695,4710,AR
2006,4988,NA,AR
2007,4845,4890,AR
2008,4789,4890,AR
2009,4580,NA,AR
2010,4532,4680,AR
2011,4033,4370,AR
2012,3782,NA,AR
2013,3732,4470,AR
2014,4253,4590,AR
2015,3771,NA,AR
2016,3207,NA,AR
2017,3249,NA,AR
1931,30,NA,CA
1932,30,NA,CA
1933,30,NA,CA
1934,30,NA,CA
1935,30,NA,CA
1936,20,NA,CA
1937,20,NA,CA
1938,20,NA,CA
1939,20,NA,CA
1940,20,NA,CA
1941,10,NA,CA
1942,20,NA,CA
1943,20,NA,CA
1944,20,NA,CA
1945,20,NA,CA
1946,10,NA,CA
1947,10,NA,CA
1948,10,NA,CA
1949,2,NA,CA
1950,2,NA,CA
1967,600,NA,CA
1968,5030,NA,CA
1969,20800,NA,CA
1970,65369,NA,CA
1971,116749,NA,CA
1972,138584,NA,CA
1973,131870,143910,CA
1974,135762,158890,CA
1975,142067,165550,CA
1976,142593,192930,CA
1977,164729,209250,CA
1978,171982,234520,CA
1979,187312,248080,CA
1980,203754,250380,CA
1981,202000,262710,CA
1982,207099,265740,CA
1983,209481,NA,CA
1984,297730,297730,CA
1985,304130,304130,CA
1986,313226,NA,CA
1987,325162,300830,CA
1988,334887,311720,CA
1989,354692,NA,CA
1990,357579,NA,CA
1991,350983,320960,CA
1992,338700,304230,CA
1993,124000,NA,CA
1994,119000,NA,CA
1995,107499,240240,CA
1996,112990,237830,CA
1997,112310,NA,CA
1998,110295,NA,CA
1999,82325,234000,CA
2000,75209,236060,CA
2001,84381,NA,CA
2002,90040,NA,CA
2003,90953,NA,CA
2004,90946,208180,CA
2005,94602,208430,CA
2006,80647,NA,CA
2007,80069,223180,CA
2008,85843,214190,CA
2009,88466,NA,CA
2010,93542,191550,CA
2011,95101,181730,CA
2012,95279,NA,CA
2013,93253,164190,CA
2014,83485,157350,CA
1967,140,NA,CO
1968,521,NA,CO
1969,1000,NA,CO
1970,2581,NA,CO
1971,4273,NA,CO
1972,5383,NA,CO
1973,7451,7580,CO
1974,9027,11310,CO
1975,10466,13640,CO
