ab,state,diab,obes,region,pop
AL,Alabama,0.141,0.363,South,4875120
AK,Alaska,0.074,0.342,West,739786
AZ,Arizona,0.104,0.295,West,7048876
AR,Arkansas,0.122,0.35,South,3002997
CA,California,0.105,0.251,West,39399349
CO,Colorado,0.074,0.226,West,5615902
CT,Connecticut,0.098,0.269,Northeast,3573880
DE,Delaware,0.113,0.318,South,957078
DC,District of Columbia,0.078,0.23,South,695691
FL,Florida,0.105,0.284,South,20976812
GA,Georgia,0.114,0.316,South,10413055
HI,Hawaii,0.109,0.238,West,1424203
ID,Idaho,0.087,0.293,West,1718904
IL,Illinois,0.11,0.311,Midwest,12786196
IN,Indiana,0.118,0.336,Midwest,6660082
IA,Iowa,0.096,0.364,Midwest,3143637
KS,Kansas,0.105,0.324,Midwest,2910689
KY,Kentucky,0.129,0.343,South,4453874
LA,Louisiana,0.136,0.362,South,4670818
ME,Maine,0.107,0.291,Northeast,1335063
MD,Maryland,0.104,0.313,South,6024891
MA,Massachusetts,0.095,0.259,Northeast,6863246
MI,Michigan,0.11,0.323,Midwest,9976447
MN,Minnesota,0.078,0.284,Midwest,5568155
MS,Mississippi,0.142,0.373,South,2989663
MO,Missouri,0.104,0.325,Midwest,6108612
MT,Montana,0.079,0.253,West,1053090
NE,Nebraska,0.101,0.328,Midwest,1917575
NV,Nevada,0.104,0.267,West,2972405
NH,New Hampshire,0.084,0.281,Northeast,1349767
NJ,New Jersey,0.11,0.273,Northeast,8888543
NM,New Mexico,0.107,0.284,West,2093395
NY,New York,0.105,0.257,Northeast,19590719
NC,North Carolina,0.114,0.321,South,10270800
ND,North Dakota,0.09,0.332,Midwest,755176
OH,Ohio,0.113,0.338,Midwest,11664129
OK,Oklahoma,0.127,0.365,South,3932640
OR,Oregon,0.096,0.294,West,4146592
PA,Pennsylvania,0.106,0.316,Northeast,12790447
RI,Rhode Island,0.089,0.3,Northeast,1056486
SC,South Carolina,0.134,0.341,South,5021219
SD,South Dakota,0.111,0.319,Midwest,873286
TN,Tennessee,0.131,0.328,South,6708794
TX,Texas,0.119,0.33,South,28322717
UT,Utah,0.071,0.253,West,3103118
VT,Vermont,0.082,0.276,Northeast,624525
VA,Virginia,0.105,0.301,South,8465207
WA,Washington,0.091,0.277,West,7425432
WV,West Virginia,0.152,0.381,South,1817048
WI,Wisconsin,0.091,0.32,Midwest,5792051
WY,Wyoming,0.09,0.288,West,578934
